Name,Age,Gender,Country,State,City,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Material Name,Material Level,Time per Day (min),Assessment Score,IQ of Student,Promoted
Julie,16,Male,USA,California,San Diego,Doctor,High,Intermediate,Intermediate,Science,Quiz,Medium,64,60.09,93,Yes
Kimberly,12,Female,USA,Texas,Austin,Engineer,High,Advanced,Intermediate,Science,PDF,Hard,95,86.44,132,Yes
Amber,15,Male,India,Maharashtra,Mumbai,Business,Low,Intermediate,Intermediate,Math,Quiz,Medium,111,88.56,99,Yes
Shaun,15,Female,India,Maharashtra,Pune,Doctor,High,Intermediate,Beginner,Science,PDF,Medium,39,79.1,132,Yes
Cheryl,7,Male,India,Karnataka,Mysore,Engineer,Middle,Intermediate,Beginner,English,PDF,Hard,51,85.51,120,Yes
Anthony,17,Female,USA,California,San Diego,Clerk,High,Advanced,Beginner,Math,Video,Medium,88,91.35,138,Yes
Julia,13,Male,UK,England,London,Business,Middle,Intermediate,Advanced,English,Quiz,Basic,109,71.22,94,Yes
Jocelyn,11,Female,USA,Texas,Dallas,Engineer,Low,Intermediate,Intermediate,Math,PDF,Medium,73,96.38,103,Yes
David,18,Male,India,Karnataka,Bangalore,Teacher,High,Advanced,Beginner,English,Video,Hard,89,61.66,125,Yes
Keith,7,Female,UK,England,Manchester,Engineer,Low,Intermediate,Advanced,English,Quiz,Medium,85,87.56,114,Yes
Lindsay,11,Female,India,Karnataka,Bangalore,Engineer,High,Intermediate,Beginner,English,Video,Medium,71,72.2,113,Yes
Joe,18,Female,USA,Texas,Austin,Clerk,High,Beginner,Beginner,Math,Quiz,Medium,101,34.04,118,No
Briana,16,Male,India,Karnataka,Mysore,Farmer,Middle,Intermediate,Intermediate,Math,PDF,Basic,78,67.38,137,Yes
Colton,14,Male,India,Karnataka,Bangalore,Doctor,Low,Advanced,Beginner,English,PDF,Medium,36,66.97,89,Yes
Tracy,14,Male,UK,Scotland,Edinburgh,Business,Middle,Beginner,Advanced,Science,Quiz,Basic,49,56.14,124,No
Melissa,9,Male,UK,Scotland,Glasgow,Business,Middle,Beginner,Intermediate,Math,Video,Medium,26,46.33,110,No
Michelle,15,Male,USA,California,San Diego,Doctor,Low,Beginner,Beginner,Math,Video,Basic,22,64.29,99,Yes
Susan,5,Male,UK,England,Manchester,Clerk,High,Beginner,Intermediate,English,Video,Medium,118,78.68,135,Yes
Derek,18,Female,India,Maharashtra,Mumbai,Teacher,High,Beginner,Advanced,English,PDF,Medium,115,66.87,94,Yes
Cynthia,15,Male,USA,California,San Diego,Teacher,High,Intermediate,Intermediate,English,Quiz,Basic,41,53.29,135,No
