Name,Age,Gender,Country,State,City,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Material Name,Material Level,Time per Day (min),Assessment Score,IQ of Student,Promoted
Mallory,13,Male,India,Maharashtra,Pune,Teacher,Low,Advanced,Advanced,English,Video,Medium,52,72.71,127,Yes
Teresa,15,Male,India,Karnataka,Bangalore,Business,High,Advanced,Intermediate,English,PDF,Hard,114,60.14,91,Yes
Joseph,12,Male,UK,England,Manchester,Doctor,Low,Beginner,Beginner,Science,PDF,Basic,11,86.05,111,Yes
James,8,Male,India,Maharashtra,Mumbai,Clerk,Low,Intermediate,Intermediate,Math,Quiz,Medium,101,75.09,81,Yes
Daniel,5,Female,UK,Scotland,Glasgow,Teacher,Middle,Advanced,Beginner,English,Video,Basic,28,76.04,124,Yes
Adam,13,Male,USA,Texas,Dallas,Doctor,High,Beginner,Advanced,Science,PDF,Medium,109,72.95,88,Yes
Shannon,7,Female,USA,Texas,Dallas,Teacher,High,Beginner,Intermediate,English,Video,Medium,30,54.89,114,No
Denise,11,Male,UK,Scotland,Edinburgh,Doctor,Low,Advanced,Advanced,English,Video,Medium,62,62.61,83,Yes
Sabrina,6,Male,UK,Scotland,Glasgow,Clerk,Low,Beginner,Beginner,Math,Video,Hard,41,89.73,121,Yes
Taylor,9,Male,India,Karnataka,Bangalore,Teacher,High,Beginner,Advanced,English,Video,Basic,79,73.86,140,Yes
Tamara,14,Male,USA,Texas,Austin,Farmer,Middle,Advanced,Beginner,Math,Quiz,Medium,62,100.0,102,Yes
Kimberly,12,Male,UK,England,London,Clerk,Low,Advanced,Intermediate,Science,Quiz,Hard,51,69.76,109,Yes
Katherine,6,Female,UK,Scotland,Edinburgh,Teacher,High,Beginner,Beginner,Math,PDF,Basic,89,100.0,101,Yes
Michelle,5,Female,USA,Texas,Austin,Clerk,High,Intermediate,Intermediate,English,Quiz,Basic,30,68.93,122,Yes
Sheila,14,Female,UK,England,London,Doctor,High,Beginner,Beginner,Math,PDF,Hard,94,85.47,122,Yes
Parker,12,Female,USA,California,San Diego,Doctor,High,Beginner,Advanced,Math,PDF,Medium,81,85.21,140,Yes
